"id","title","genre","years","duration","rating","people_rating","critic_rating","votes"
3071,"Believer","Action","2018","123","15","6.6","58","4,064"
3072,"Frequency","Crime","2000","118","15","7.4","67","114,159"
3073,"Medieval","Action","2022","125","15","5.9","46","11,802"
3074,"The Duff","Comedy","2015","101","12A","6.4","56","100,231"
3075,"Billy Elliot","Drama","2000","110","15","7.7","74","140,747"
3076,"Strange Days","Crime","1995","145","18","7.2","66","77,015"
3077,"Raw","Drama","2016","99","18","7.0","81","86,966"
3078,"Equilibrium","Action","2002","107","15","7.3","33","343,314"
3079,"Borders of Love","Drama","2022","95",NULL,"5.6",NULL,"505"
3080,"The Cloverfield Paradox","Action","2018","102","15","5.5","37","111,316"
3081,"Extremely Wicked, Shockingly Evil and Vile","Biography","2019","110","15","6.7","52","100,413"
3082,"Horizon: An American Saga","Drama","2024","N/A",NULL,NULL,NULL,"N/A"
3083,"[Rec]","Horror","2007","78","18","7.4","71","193,178"
3084,"He's All That","Comedy","2021","88","12","4.4","36","27,835"
3085,"The Black Demon","Drama","2023","100","15","3.7",NULL,"7,772"
3086,"Private","Drama","2003","120","Not Rated","4.9",NULL,"2,981"
3087,"When We First Met","Comedy","2018","97","12","6.4","36","53,087"
3088,"P.S. I Love You","Comedy","2007","126","12A","7.0","39","216,538"
3089,"The Spiderwick Chronicles","Action","2008","96","PG","6.5","62","101,167"
3090,"George of the Jungle","Action","1997","92","U","5.5","53","83,221"
3091,"A Separation","Drama","2011","123","PG","8.3","95","254,891"
3092,"Hercules","Action","2014","98","12A","6.0","47","162,757"
3093,"I Wanna Dance with Somebody","Biography","2022","144","12A","6.6","51","21,472"
3094,"Blue Jean","Drama","2022","97","15","7.0","87","3,790"
3095,"I Came By","Thriller","2022","110","15","6.2","57","32,067"
3096,"The Man in the Iron Mask","Action","1998","132","12","6.5","48","176,358"
3097,"Pride and Prejudice and Zombies","Action","2016","108","15","5.8","45","59,513"
3098,"Day Shift","Action","2022","113","18","6.1","51","87,502"
3099,"The Movie Critic","Drama",NULL,"N/A",NULL,NULL,NULL,"N/A"
3100,"The Bourne Legacy","Action","2012","135","12A","6.6","61","312,679"
3101,"Percy Jackson: Sea of Monsters","Adventure","2013","106","PG","5.7","39","123,663"
3102,"La dolce vita","Comedy","1960","174","X","8.0","95","77,024"
3103,"Æon Flux","Action","2005","93","15","5.4","36","131,891"
3104,"Lust, Caution","Drama","2007","157","18","7.5","61","44,778"
3105,"Lords of Chaos","Biography","2018","118","18","6.6","48","18,500"
3106,"Jumper","Action","2008","88","12A","6.1","35","319,553"
3107,"Studio 666","Comedy","2022","106","18","5.7","50","13,143"
3108,"The Conjuring: Last Rites","Horror",NULL,"N/A",NULL,NULL,NULL,"N/A"
3109,"The House","Animation","2022","97","12","6.8",NULL,"21,437"
3110,"A Room with a View","Drama","1985","117","PG","7.2","83","46,910"
3111,"800","Biography","2023","158",NULL,"8.0",NULL,"3,666"
3112,"Pandorum","Action","2009","108","15","6.7","28","157,542"
3113,"Cleopatra","Biography","1963","192","A","7.0","60","36,633"
3114,"Operation Christmas Drop","Comedy","2020","95","U","5.8","47","12,719"
3115,"You Again","Comedy","2010","105","U","5.7","28","53,897"
3116,"The Angry Birds Movie","Animation","2016","97","U","6.3","43","101,375"
3117,"American Reunion","Comedy","2012","113","15","6.7","49","221,877"
3118,"Lars and the Real Girl","Comedy","2007","106","12A","7.3","70","152,819"
3119,"The Circle","Drama","2017","110","12","5.3","43","98,325"
3120,"Malicious","Comedy","1973","97","X","6.3",NULL,"3,407"
3121,"The Quick and the Dead","Action","1995","108","15","6.5","49","100,926"
3122,"Night at the Museum 2","Adventure","2009","105","PG","6.0","42","209,118"
3123,"The Obscure Spring","Drama","2014","100",NULL,"6.2",NULL,"705"
3124,"The Mortal Instruments: City of Bones","Action","2013","130","12A","5.8","33","137,883"
3125,"Before the Devil Knows You're Dead","Crime","2007","117","15","7.3","86","109,519"
3126,"The Card Counter","Crime","2021","111","15","6.2","77","41,528"
3127,"War Horse","Action","2011","146","12A","7.2","72","163,873"
3128,"Brawl in Cell Block 99","Action","2017","132","18","7.1","79","72,848"
3129,"Kung Fu Panda 3","Animation","2016","95","PG","7.1","66","178,190"
3130,"Beautiful Creatures","Drama","2013","124","12A","6.1","52","90,468"
3131,"The Assistant","Drama","2019","87","15","6.4","79","25,285"
3132,"Videodrome","Horror","1983","87","18","7.2","58","100,818"
